geoid,name,pop
0600000US2612574900,"Southfield city, Oakland County, Michigan",57066
0600000US2612580700,"Troy city, Oakland County, Michigan",57574
0600000US2612584240,"Waterford charter township, Oakland County, Michigan",57936
0600000US2612585480,"West Bloomfield charter township, Oakland County, Michigan",47859
0600000US2616103000,"Ann Arbor city, Washtenaw County, Michigan",89758
0600000US2616313120,"Canton charter township, Wayne County, Michigan",64457
0600000US2616321000,"Dearborn city, Wayne County, Michigan",57707
0600000US2616322000,"Detroit city, Wayne County, Michigan",482693
0600000US2616349000,"Livonia city, Wayne County, Michigan",73903
0600000US2616386000,"Westland city, Wayne County, Michigan",61572
0600000US2700306382,"Blaine city, Anoka County, Minnesota",45064
0600000US2703717288,"Eagan city, Dakota County, Minnesota",43316
0600000US2703735180,"Lakeville city, Dakota County, Minnesota",46963
0600000US2705306616,"Bloomington city, Hennepin County, Minnesota",66250
0600000US2705307966,"Brooklyn Park city, Hennepin County, Minnesota",54726
0600000US2705340166,"Maple Grove city, Hennepin County, Minnesota",52513
0600000US2705343000,"Minneapolis city, Hennepin County, Minnesota",316435
0600000US2705351730,"Plymouth city, Hennepin County, Minnesota",54524
0600000US2710954880,"Rochester city, Olmsted County, Minnesota",83447
0600000US2712358000,"St. Paul city, Ramsey County, Minnesota",209348
0600000US2713717000,"Duluth city, St. Louis County, Minnesota",69809
0600000US2716371428,"Woodbury city, Washington County, Minnesota",51008
0600000US2901915688,"Columbia township, Boone County, Missouri",57306
0600000US2902177236,"Washington township, Buchanan County, Missouri",59498
0600000US2904726290,"Gallatin township, Clay County, Missouri",58421
0600000US2907770009,"Springfield township, Greene County, Missouri",135058
0600000US2909506490,"Blue township, Jackson County, Missouri",114786
0600000US2909508686,"Brooking township, Jackson County, Missouri",55146
0600000US2909538054,"Kaw township, Jackson County, Missouri",146962
0600000US2909559564,"Prairie township, Jackson County, Missouri",78632
0600000US2909568438,"Sni-A-Bar township, Jackson County, Missouri",61918
0600000US2909577506,"Washington township, Jackson County, Missouri",50077
0600000US2951065000,"St. Louis city, St. Louis city, Missouri",232756
0600000US3105592237,"Omaha city, Douglas County, Nebraska",328815
0600000US3110991753,"Lincoln city, Lancaster County, Nebraska",214362
0600000US3301145140,"Manchester city, Hillsborough County, New Hampshire",85554
0600000US3301150260,"Nashua city, Hillsborough County, New Hampshire",67833
0600000US3400710000,"Camden city, Camden County, New Jersey",46160
0600000US3400712280,"Cherry Hill township, Camden County, New Jersey",53527
0600000US3400726760,"Gloucester township, Camden County, New Jersey",49629
0600000US3401319390,"East Orange city, Essex County, New Jersey",44419
0600000US3401351000,"Newark city, Essex County, New Jersey",160087
0600000US3401703580,"Bayonne city, Hudson County, New Jersey",44372
0600000US3401736000,"Jersey City city, Hudson County, New Jersey",155099
0600000US3401774630,"Union City city, Hudson County, New Jersey",37101
0600000US3402129310,"Hamilton township, Mercer County, New Jersey",64434
0600000US3402174000,"Trenton city, Mercer County, New Jersey",47437
0600000US3402320230,"Edison township, Middlesex County, New Jersey",55812
0600000US3402354705,"Old Bridge township, Middlesex County, New Jersey",49182
0600000US3402382000,"Woodbridge township, Middlesex County, New Jersey",66095
0600000US3402545990,"Middletown township, Monmouth County, New Jersey",51889
0600000US3402907420,"Brick township, Ocean County, New Jersey",60402
0600000US3402938550,"Lakewood township, Ocean County, New Jersey",45239
0600000US3402973125,"Toms River township, Ocean County, New Jersey",70980
0600000US3403113690,"Clifton city, Passaic County, New Jersey",54125
0600000US3403156550,"Passaic city, Passaic County, New Jersey",31205
0600000US3403157000,"Paterson city, Passaic County, New Jersey",76236
0600000US3403524900,"Franklin township, Somerset County, New Jersey",48664
0600000US3403921000,"Elizabeth city, Union County, New Jersey",60543
0600000US3600101000,"Albany city, Albany County, New York",74976
0600000US3600117343,"Colonie town, Albany County, New York",65227
0600000US3600508510,"Bronx borough, Bronx County, New York",860883
0600000US3602902000,"Amherst town, Erie County, New York",94051
0600000US3602911000,"Buffalo city, Erie County, New York",184368
0600000US3602915011,"Cheektowaga town, Erie County, New York",68919
0600000US3602975000,"Tonawanda town, Erie County, New York",61187
0600000US3604710022,"Brooklyn borough, Kings County, New York",1666176
0600000US3605530290,"Greece town, Monroe County, New York",75906
0600000US3605563000,"Rochester city, Monroe County, New York",153987
0600000US3605934000,"Hempstead town, Nassau County, New York",543478
0600000US3605953000,"North Hempstead town, Nassau County, New York",160572
0600000US3605956000,"Oyster Bay town, Nassau County, New York",226676
0600000US3606144919,"Manhattan borough, New York County, New York",1203078
0600000US3606773000,"Syracuse city, Onondaga County, New York",105669
0600000US3608160323,"Queens borough, Queens County, New York",1388231
0600000US3608570915,"Staten Island borough, Richmond County, New York",339044
0600000US3608715968,"Clarkstown town, Rockland County, New York",66096
0600000US3608760510,"Ramapo town, Rockland County, New York",68816
0600000US3609365508,"Schenectady city, Schenectady County, New York",48725
0600000US3610304000,"Babylon town, Suffolk County, New York",156773
0600000US3610310000,"Brookhaven town, Suffolk County, New York",353581
0600000US3610337000,"Huntington town, Suffolk County, New York",151847
0600000US3610338000,"Islip town, Suffolk County, New York",230809
0600000US3610368000,"Smithtown town, Suffolk County, New York",91727
0600000US3611930367,"Greenburgh town, Westchester County, New York",64531
0600000US3611949121,"Mount Vernon city, Westchester County, New York",50049
0600000US3611950617,"New Rochelle city, Westchester County, New York",54601
0600000US3611984000,"Yonkers city, Westchester County, New York",132680
0600000US3801507200,"Bismarck city, Burleigh County, North Dakota",56695
0600000US3801725700,"Fargo city, Cass County, North Dakota",92798
0600000US3903516000,"Cleveland city, Cuyahoga County, Ohio",285935
0600000US3903561000,"Parma city, Cuyahoga County, Ohio",61321
0600000US3904918000,"Columbus city, Franklin County, Ohio",632187
0600000US3906115000,"Cincinnati city, Hamilton County, Ohio",230374
0600000US3909344856,"Lorain city, Lorain County, Ohio",46493
0600000US3909577000,"Toledo city, Lucas County, Ohio",206158
0600000US3909988000,"Youngstown city, Mahoning County, Ohio",51193
0600000US3911321000,"Dayton city, Montgomery County, Ohio",104919
0600000US3915112000,"Canton city, Stark County, Ohio",53122
0600000US3915301000,"Akron city, Summit County, Ohio",150905
0600000US4200361000,"Pittsburgh city, Allegheny County, Pennsylvania",239526
0600000US4201163624,"Reading city, Berks County, Pennsylvania",57454
0600000US4204579000,"Upper Darby township, Delaware County, Pennsylvania",56087
0600000US4204924000,"Erie city, Erie County, Pennsylvania",72304
0600000US4206969000,"Scranton city, Lackawanna County, Pennsylvania",59219
0600000US4207702000,"Allentown city, Lehigh County, Pennsylvania",81450
0600000US4210160000,"Philadelphia city, Philadelphia County, Pennsylvania",1147538
0600000US4400374300,"Warwick city, Kent County, Rhode Island",65150
0600000US4400719180,"Cranston city, Providence County, Rhode Island",61529
0600000US4400754640,"Pawtucket city, Providence County, Rhode Island",49757
0600000US4400759000,"Providence city, Providence County, Rhode Island",120511
0600000US4609959020,"Sioux Falls city, Minnehaha County, South Dakota",111790
0600000US4610352980,"Rapid City city, Pennington County, South Dakota",59479
0600000US5500931000,"Green Bay city, Brown County, Wisconsin",74728
0600000US5502548000,"Madison city, Dane County, Wisconsin",202756
0600000US5503522300,"Eau Claire city, Eau Claire County, Wisconsin",53798
0600000US5505939225,"Kenosha city, Kenosha County, Wisconsin",72537
0600000US5507953000,"Milwaukee city, Milwaukee County, Wisconsin",404940
0600000US5510166000,"Racine city, Racine County, Wisconsin",54787
0600000US5513384250,"Waukesha city, Waukesha County, Wisconsin",55433
0600000US5513960500,"Oshkosh city, Winnebago County, Wisconsin",53251
