geoid,name,pop
5001600US0618,"Congressional District 18 (116th Congress), California",486648
5001600US0619,"Congressional District 19 (116th Congress), California",470847
5001600US0620,"Congressional District 20 (116th Congress), California",446278
5001600US0621,"Congressional District 21 (116th Congress), California",376921
5001600US0622,"Congressional District 22 (116th Congress), California",485479
5001600US0623,"Congressional District 23 (116th Congress), California",499637
5001600US0624,"Congressional District 24 (116th Congress), California",510335
5001600US0625,"Congressional District 25 (116th Congress), California",490670
5001600US0626,"Congressional District 26 (116th Congress), California",483010
5001600US0627,"Congressional District 27 (116th Congress), California",482244
5001600US0628,"Congressional District 28 (116th Congress), California",489048
5001600US0629,"Congressional District 29 (116th Congress), California",416537
5001600US0630,"Congressional District 30 (116th Congress), California",529032
5001600US0631,"Congressional District 31 (116th Congress), California",498759
5001600US0632,"Congressional District 32 (116th Congress), California",456875
5001600US0633,"Congressional District 33 (116th Congress), California",522362
5001600US0634,"Congressional District 34 (116th Congress), California",416264
5001600US0635,"Congressional District 35 (116th Congress), California",455488
5001600US0636,"Congressional District 36 (116th Congress), California",538461
5001600US0637,"Congressional District 37 (116th Congress), California",475186
5001600US0638,"Congressional District 38 (116th Congress), California",475031
5001600US0639,"Congressional District 39 (116th Congress), California",486371
5001600US0640,"Congressional District 40 (116th Congress), California",334291
5001600US0641,"Congressional District 41 (116th Congress), California",479421
5001600US0642,"Congressional District 42 (116th Congress), California",565461
5001600US0643,"Congressional District 43 (116th Congress), California",451030
5001600US0644,"Congressional District 44 (116th Congress), California",405957
5001600US0645,"Congressional District 45 (116th Congress), California",537433
5001600US0646,"Congressional District 46 (116th Congress), California",419462
5001600US0647,"Congressional District 47 (116th Congress), California",483829
5001600US0648,"Congressional District 48 (116th Congress), California",513819
5001600US0649,"Congressional District 49 (116th Congress), California",519217
5001600US0650,"Congressional District 50 (116th Congress), California",524595
5001600US0651,"Congressional District 51 (116th Congress), California",443525
5001600US0652,"Congressional District 52 (116th Congress), California",560713
5001600US0653,"Congressional District 53 (116th Congress), California",564095
5001600US0801,"Congressional District 1 (116th Congress), Colorado",635916
5001600US0802,"Congressional District 2 (116th Congress), Colorado",639136
5001600US0803,"Congressional District 3 (116th Congress), Colorado",571465
5001600US0804,"Congressional District 4 (116th Congress), Colorado",618377
5001600US0805,"Congressional District 5 (116th Congress), Colorado",618627
5001600US0806,"Congressional District 6 (116th Congress), Colorado",569294
5001600US0807,"Congressional District 7 (116th Congress), Colorado",591395
5001600US0901,"Congressional District 1 (116th Congress), Connecticut",519263
5001600US0902,"Congressional District 2 (116th Congress), Connecticut",548326
5001600US0903,"Congressional District 3 (116th Congress), Connecticut",545247
5001600US0904,"Congressional District 4 (116th Congress), Connecticut",487562
5001600US0905,"Congressional District 5 (116th Congress), Connecticut",519076
5001600US1000,"Congressional District (at Large) (116th Congress), Delaware",725178
5001600US1198,"Delegate District (at Large) (116th Congress), District of Columbia",536768
5001600US1201,"Congressional District 1 (116th Congress), Florida",606302
5001600US1202,"Congressional District 2 (116th Congress), Florida",561491
5001600US1203,"Congressional District 3 (116th Congress), Florida",579748
5001600US1204,"Congressional District 4 (116th Congress), Florida",625074
5001600US1205,"Congressional District 5 (116th Congress), Florida",553978
5001600US1206,"Congressional District 6 (116th Congress), Florida",630741
5001600US1207,"Congressional District 7 (116th Congress), Florida",609432
5001600US1208,"Congressional District 8 (116th Congress), Florida",615259
5001600US1209,"Congressional District 9 (116th Congress), Florida",641755
5001600US1210,"Congressional District 10 (116th Congress), Florida",535381
5001600US1211,"Congressional District 11 (116th Congress), Florida",669669
5001600US1212,"Congressional District 12 (116th Congress), Florida",625818
5001600US1213,"Congressional District 13 (116th Congress), Florida",585038
5001600US1214,"Congressional District 14 (116th Congress), Florida",571062
5001600US1215,"Congressional District 15 (116th Congress), Florida",580626
5001600US1216,"Congressional District 16 (116th Congress), Florida",665073
5001600US1217,"Congressional District 17 (116th Congress), Florida",635931
5001600US1218,"Congressional District 18 (116th Congress), Florida",604583
5001600US1219,"Congressional District 19 (116th Congress), Florida",637525
5001600US1220,"Congressional District 20 (116th Congress), Florida",491860
5001600US1221,"Congressional District 21 (116th Congress), Florida",549008
