geoid,name,pop
0500000US12119,"Sumter County, Florida",120663
0500000US12127,"Volusia County, Florida",442483
0500000US12131,"Walton County, Florida",56996
0500000US13013,"Barrow County, Georgia",59762
0500000US13015,"Bartow County, Georgia",78388
0500000US13021,"Bibb County, Georgia",113115
0500000US13031,"Bulloch County, Georgia",62609
0500000US13045,"Carroll County, Georgia",87945
0500000US13047,"Catoosa County, Georgia",51810
0500000US13051,"Chatham County, Georgia",220481
0500000US13057,"Cherokee County, Georgia",183825
0500000US13059,"Clarke County, Georgia",99653
0500000US13063,"Clayton County, Georgia",192381
0500000US13067,"Cobb County, Georgia",523625
0500000US13073,"Columbia County, Georgia",115224
0500000US13077,"Coweta County, Georgia",109457
0500000US13089,"DeKalb County, Georgia",528064
0500000US13095,"Dougherty County, Georgia",66493
0500000US13097,"Douglas County, Georgia",103087
0500000US13113,"Fayette County, Georgia",82659
0500000US13115,"Floyd County, Georgia",71527
0500000US13117,"Forsyth County, Georgia",154998
0500000US13121,"Fulton County, Georgia",773633
0500000US13127,"Glynn County, Georgia",65430
0500000US13135,"Gwinnett County, Georgia",566325
0500000US13139,"Hall County, Georgia",134202
0500000US13151,"Henry County, Georgia",169958
0500000US13153,"Houston County, Georgia",114015
0500000US13157,"Jackson County, Georgia",52674
0500000US13185,"Lowndes County, Georgia",87221
0500000US13215,"Muscogee County, Georgia",143310
0500000US13217,"Newton County, Georgia",79035
0500000US13223,"Paulding County, Georgia",120119
0500000US13245,"Richmond County, Georgia",153303
0500000US13247,"Rockdale County, Georgia",65185
0500000US13255,"Spalding County, Georgia",49737
0500000US13285,"Troup County, Georgia",52264
0500000US13295,"Walker County, Georgia",54559
0500000US13297,"Walton County, Georgia",69656
0500000US13313,"Whitfield County, Georgia",64436
0500000US15001,"Hawaii County, Hawaii",144347
0500000US15003,"Honolulu County, Hawaii",700404
0500000US15007,"Kauai County, Hawaii",51823
0500000US15009,"Maui County, Hawaii",117451
0500000US16001,"Ada County, Idaho",357306
0500000US16005,"Bannock County, Idaho",64055
0500000US16019,"Bonneville County, Idaho",80505
0500000US16027,"Canyon County, Idaho",157029
