geoid,name,pop
1600000US0669070,"Santa Barbara city, California",62454
1600000US0669084,"Santa Clara city, California",74953
1600000US0669088,"Santa Clarita city, California",145204
1600000US0669112,"Santa Cruz city, California",49912
1600000US0669196,"Santa Maria city, California",45176
1600000US0670000,"Santa Monica city, California",72862
1600000US0670098,"Santa Rosa city, California",115129
1600000US0672016,"Simi Valley city, California",93601
1600000US0673080,"South Gate city, California",48289
1600000US0673262,"South San Francisco city, California",47353
1600000US0675000,"Stockton city, California",191709
1600000US0677000,"Sunnyvale city, California",76452
1600000US0678120,"Temecula city, California",74942
1600000US0678582,"Thousand Oaks city, California",86679
1600000US0680000,"Torrance city, California",100037
1600000US0680238,"Tracy city, California",60029
1600000US0680644,"Tulare city, California",34786
1600000US0680812,"Turlock city, California",48773
1600000US0680854,"Tustin city, California",49781
1600000US0681204,"Union City city, California",48082
1600000US0681344,"Upland city, California",57286
1600000US0681554,"Vacaville city, California",72866
1600000US0681666,"Vallejo city, California",84455
1600000US0682590,"Victorville city, California",71507
1600000US0682954,"Visalia city, California",88105
1600000US0682996,"Vista city, California",65513
1600000US0683346,"Walnut Creek city, California",53853
1600000US0684200,"West Covina city, California",72711
1600000US0684550,"Westminster city, California",61180
1600000US0685292,"Whittier city, California",59564
1600000US0686832,"Yorba Linda city, California",49569
1600000US0686972,"Yuba City city, California",44999
1600000US0803455,"Arvada city, Colorado",92004
1600000US0804000,"Aurora city, Colorado",244784
1600000US0807850,"Boulder city, Colorado",86783
1600000US0809280,"Broomfield city, Colorado",53297
1600000US0812415,"Castle Rock town, Colorado",47872
1600000US0812815,"Centennial city, Colorado",80367
1600000US0816000,"Colorado Springs city, Colorado",360867
1600000US0820000,"Denver city, Colorado",541386
1600000US0827425,"Fort Collins city, Colorado",137156
1600000US0832155,"Greeley city, Colorado",77578
1600000US0836410,"Highlands Ranch CDP, Colorado",73382
1600000US0843000,"Lakewood city, Colorado",122965
1600000US0845970,"Longmont city, Colorado",70531
1600000US0846465,"Loveland city, Colorado",60857
1600000US0862000,"Pueblo city, Colorado",83364
1600000US0877290,"Thornton city, Colorado",91916
1600000US0883835,"Westminster city, Colorado",84430
1600000US0908000,"Bridgeport city, Connecticut",85679
1600000US0918430,"Danbury city, Connecticut",56977
1600000US0937000,"Hartford city, Connecticut",79955
1600000US0950370,"New Britain city, Connecticut",51589
1600000US0952000,"New Haven city, Connecticut",89986
1600000US0955990,"Norwalk city, Connecticut",60668
1600000US0973000,"Stamford city, Connecticut",80714
1600000US0980000,"Waterbury city, Connecticut",75084
1600000US1077580,"Wilmington city, Delaware",52904
1600000US1150000,"Washington city, District of Columbia",536768
1600000US1200410,"Alafaya CDP, Florida",65681
1600000US1207300,"Boca Raton city, Florida",73820
1600000US1207875,"Boynton Beach city, Florida",55361
1600000US1208150,"Brandon CDP, Florida",83458
1600000US1210275,"Cape Coral city, Florida",152441
1600000US1212875,"Clearwater city, Florida",86483
1600000US1214400,"Coral Springs city, Florida",83639
1600000US1216475,"Davie town, Florida",69342
1600000US1216525,"Daytona Beach city, Florida",57155
1600000US1216725,"Deerfield Beach city, Florida",53465
1600000US1217100,"Delray Beach city, Florida",51870
1600000US1217200,"Deltona city, Florida",67392
1600000US1217935,"Doral city, Florida",29714
1600000US1224000,"Fort Lauderdale city, Florida",129285
1600000US1224125,"Fort Myers city, Florida",59412
1600000US1224562,"Fountainebleau CDP, Florida",41205
1600000US1225175,"Gainesville city, Florida",106328
1600000US1230000,"Hialeah city, Florida",124816
1600000US1232000,"Hollywood city, Florida",101408
1600000US1232275,"Homestead city, Florida",29393
1600000US1235000,"Jacksonville city, Florida",663770
1600000US1235875,"Jupiter town, Florida",49559
1600000US1236100,"Kendall CDP, Florida",54221
1600000US1236950,"Kissimmee city, Florida",45029
1600000US1238250,"Lakeland city, Florida",83650
1600000US1239425,"Largo city, Florida",66001
1600000US1239550,"Lauderhill city, Florida",43933
1600000US1239925,"Lehigh Acres CDP, Florida",84488
1600000US1243975,"Melbourne city, Florida",66121
1600000US1245000,"Miami city, Florida",265431
1600000US1245025,"Miami Beach city, Florida",47180
1600000US1245060,"Miami Gardens city, Florida",69244
1600000US1245975,"Miramar city, Florida",91477
1600000US1249675,"North Port city, Florida",53161
1600000US1253000,"Orlando city, Florida",196073
1600000US1254000,"Palm Bay city, Florida",87694
1600000US1254200,"Palm Coast city, Florida",72247
1600000US1255775,"Pembroke Pines city, Florida",118363
1600000US1256825,"Pine Hills CDP, Florida",52428
1600000US1257425,"Plantation city, Florida",68747
1600000US1257900,"Poinciana CDP, Florida",47529
1600000US1258050,"Pompano Beach city, Florida",76350
1600000US1258350,"Port Charlotte CDP, Florida",53138
1600000US1258715,"Port St. Lucie city, Florida",145686
1600000US1260950,"Riverview CDP, Florida",69870
1600000US1263000,"St. Petersburg city, Florida",213010
